"General Edward Lawrence Logan International Airport","Boston","BOS","Minneapolis-St Paul International/Wold-Chamberlain Airport","Minneapolis","MSP","1804231.4655847396"
"General Edward Lawrence Logan International Airport","Boston","BOS","Chicago O'Hare International Airport","Chicago","ORD","1391078.5188173659"
"General Edward Lawrence Logan International Airport","Boston","BOS","Philadelphia International Airport","Philadelphia","PHL","450141.97663323145"
"General Edward Lawrence Logan International Airport","Boston","BOS","Phoenix Sky Harbor International Airport","Phoenix","PHX","3693775.591402386"
"General Edward Lawrence Logan International Airport","Boston","BOS","San Diego International Airport","San Diego","SAN","4155895.1074218806"
"General Edward Lawrence Logan International Airport","Boston","BOS","Seattle Tacoma International Airport","Seattle","SEA","4005508.8580896044"
"General Edward Lawrence Logan International Airport","Boston","BOS","San Francisco International Airport","San Francisco","SFO","4341241.63231656"
"General Edward Lawrence Logan International Airport","Boston","BOS","Salt Lake City International Airport","Salt Lake City","SLC","3379556.64441208"
"General Edward Lawrence Logan International Airport","Boston","BOS","Tampa International Airport","Tampa","TPA","1908457.5375307845"
"Baltimore/Washington International Thurgood Marshall Airport","Baltimore","BWI","Hartsfield Jackson Atlanta International Airport","Atlanta","ATL","927531.1806524333"
"Baltimore/Washington International Thurgood Marshall Airport","Baltimore","BWI","General Edward Lawrence Logan International Airport","Boston","BOS","594054.136189938"
"Baltimore/Washington International Thurgood Marshall Airport","Baltimore","BWI","Charlotte Douglas International Airport","Charlotte","CLT","580708.5512183094"
"Baltimore/Washington International Thurgood Marshall Airport","Baltimore","BWI","Ronald Reagan Washington National Airport","Washington","DCA","48072.32366612873"
"Baltimore/Washington International Thurgood Marshall Airport","Baltimore","BWI","Denver International Airport","Denver","DEN","2393552.115294363"
"Baltimore/Washington International Thurgood Marshall Airport","Baltimore","BWI","Dallas Fort Worth International Airport","Dallas-Fort Worth","DFW","1954768.615636218"
"Baltimore/Washington International Thurgood Marshall Airport","Baltimore","BWI","Detroit Metropolitan Wayne County Airport","Detroit","DTW","656738.065761792"
"Baltimore/Washington International Thurgood Marshall Airport","Baltimore","BWI","Newark Liberty International Airport","Newark","EWR","271785.6859207242"
"Baltimore/Washington International Thurgood Marshall Airport","Baltimore","BWI","Fort Lauderdale Hollywood International Airport","Fort Lauderdale","FLL","1492710.2897267693"
"Baltimore/Washington International Thurgood Marshall Airport","Baltimore","BWI","Washington Dulles International Airport","Washington","IAD","72680.24419883614"
"Baltimore/Washington International Thurgood Marshall Airport","Baltimore","BWI","George Bush Intercontinental Houston Airport","Houston","IAH","1985789.4678434369"
"Baltimore/Washington International Thurgood Marshall Airport","Baltimore","BWI","John F Kennedy International Airport","New York","JFK","295360.97481280484"
"Baltimore/Washington International Thurgood Marshall Airport","Baltimore","BWI","McCarran International Airport","Las Vegas","LAS","3381120.7311178795"
"Baltimore/Washington International Thurgood Marshall Airport","Baltimore","BWI","Los Angeles International Airport","Los Angeles","LAX","3739913.350155454"
"Baltimore/Washington International Thurgood Marshall Airport","Baltimore","BWI","La Guardia Airport","New York","LGA","297417.24711878964"
"Baltimore/Washington International Thurgood Marshall Airport","Baltimore","BWI","Orlando International Airport","Orlando","MCO","1268997.6911912782"
"Baltimore/Washington International Thurgood Marshall Airport","Baltimore","BWI","Chicago Midway International Airport","Chicago","MDW","980545.3457147715"
"Baltimore/Washington International Thurgood Marshall Airport","Baltimore","BWI","Miami International Airport","Miami","MIA","1525943.136275066"
"Baltimore/Washington International Thurgood Marshall Airport","Baltimore","BWI","Minneapolis-St Paul International/Wold-Chamberlain Airport","Minneapolis","MSP","1503627.9229627186"
"Baltimore/Washington International Thurgood Marshall Airport","Baltimore","BWI","Chicago O'Hare International Airport","Chicago","ORD","997970.7015112964"
"Baltimore/Washington International Thurgood Marshall Airport","Baltimore","BWI","Philadelphia International Airport","Philadelphia","PHL","144852.26888367694"
"Baltimore/Washington International Thurgood Marshall Airport","Baltimore","BWI","Phoenix Sky Harbor International Airport","Phoenix","PHX","3209737.225974474"
"Baltimore/Washington International Thurgood Marshall Airport","Baltimore","BWI","San Diego International Airport","San Diego","SAN","3685609.12845294"
"Baltimore/Washington International Thurgood Marshall Airport","Baltimore","BWI","Seattle Tacoma International Airport","Seattle","SEA","3748136.9792119004"
"Baltimore/Washington International Thurgood Marshall Airport","Baltimore","BWI","San Francisco International Airport","San Francisco","SFO","3944352.469233699"
"Baltimore/Washington International Thurgood Marshall Airport","Baltimore","BWI","Salt Lake City International Airport","Salt Lake City","SLC","2993495.183586014"
"Baltimore/Washington International Thurgood Marshall Airport","Baltimore","BWI","Tampa International Airport","Tampa","TPA","1357905.0257560094"
"Charlotte Douglas International Airport","Charlotte","CLT","Hartsfield Jackson Atlanta International Airport","Atlanta","ATL","364567.17101525766"
"Charlotte Douglas International Airport","Charlotte","CLT","General Edward Lawrence Logan International Airport","Boston","BOS","1170675.3525806896"
